name,cuisine,neighborhood,price,rating,sample_dish
Reyna,Mediterranean,Greenwich Village,$$$,4.5,Lamb Baklava
4 Charles Prime Rib,American,West Village,$$$$,4.5,Burger
César,French,Hudson Square,$$$$,4.0,Uni Toast
Torrisi,Italian,Nolita,$$$$,4.5,Tortellini Pomodoro
Gene's Restaurant,Italian,Greenwich Village,$$$,4.0,Vodka Pasta
Strip House,American,Greenwich Village,$$$$,4.8,Chocolate Cake
Da Andrea,Italian,Greenwich Village,$$,4.5,Carbonara
Village Taverna,Greek,Greenwich Village,$$$,4.8,Chicken Souvlaki
Il Cantinori,Tuscan,Greenwich Village,$$$$,4.8,Pasta Trio
Morandi,Italian ,West Village,$$,3.5,Lemon Pasta
Little Owl,Mediterranean,West Village,$$$,4.8,Meatball Sliders
Buvette,French,West Village,$$,4.7,Croque Madame
Mole,Mexican,West Village,$$,3.5,Sizzling Fajitas
ATLA,Mexican,NoHo,$$$,3.5,Pork Al Pastor Gringa
La Palapa,Mexican,East Village,$$,4.5,Burrito Bowl
Raoul's,French,SoHo,$$$,4.0,Steak Au Poivre
La Mercerie,French,SoHo,$$$,3.5,Crepe Complete
Cafe Zaffri,Syrian,Flatiron,$$$$,3.0,Lamb Wellington
Motek,Mediterranean,Flatiron,$$$,4.9,Chicken Schnitzel
Hen House,Lebanese,East Village,$,4.5,Lamb Birria
The Smith,American,East Village,$$,4.6,Mac and Cheese
Gjelina,American,NoHo,$$$,4.6,Pomodoro Pizza
Estela,American,Nolita,$$$$,4.7,Endive Salad
Shuka,Mediterranean,SoHo,$$,4.5,Fried Halloumi
The Corner Store,American,SoHo,$$$$,4.5,Samoa Sundae
Cho Dang Gol,Korean,Koreatown,$$,4.6,Cod Roe Omelette
HOJOKBAN NYC,Korean,Koreatown,$$$,4.6,Shin Ramen Fried Rice
Jongro BBQ,Korean,Koreatown,$$$,4.5,Beef Short Ribs Gobdol
BCD Tofu House,Korean,Koreatown,$$,4.3,Seafood Pancake
MUI,Korean,Koreatown,$$,4.5,Grilled Spicy Chicken
Samwoojung,Korean,Koreatown,$$,4.5,Soup Bulgogi
BANGIA,Korean,Koreatown,$$,4.3,Lychee Soju
Take 31,Korean,Koreatown,$$,4.4,Korean Fried Chicken
Izakaya MEW,Japanese,Chelsea,$$,4.5,Mentai Spaghetti
House of Joy,Chinese,West Village,$$,4.1,Egg Tart
Kimura,Japanese,East Village,$$,4.5,Nabe
Karakatta,Japanese,West Village,$$,4.5,Spicy Ginger Stamina Ramen
Kyuramen,Japanese,East Village,$$,4.6,Tonkotsu Ramen
Ootoya,Japanese,East Village,$$,4.2,Katsu Toji
Chow House,Chinese,West Village,$$,4.6,Braised Fish Filet W Spicy Broad Sauce
Lao Ma Spicy,Chinese,East Village,$$,4.1,Stirfried Spicy Pot
Pranakhon,Thai,East Village,$$,4.7,Short Ribs
Top Thai Greenwich,Thai,West Village,$$,4.6,Pad Thai Noodles
Raku,Japanese,West Village,$$,4.5,Kani Ankake
Grandpa Thai,Thai,East Village,$$,4.8,Pad Krapow Moo
Mountain House,Chinese,East Village,$$,4.6,Beef Sour Soup
OLIO E PIU,Italian,West Village,$$$,4.7,Spaghetti Alla Carbonara
Gen Korean BBQ House,Korean,East Village,$$,3.9,Gen Premium Steak
886,Taiwanese,East Village,$$,4.2,Honey Glazed Popcorn Chicken
ZIZI,Mediterranean,Chelsea,$$,4.5,Overnight Lamb
